要求番号,分類,内容
1,要求,~~画像をすべて同時に表示するのではなく1枚ずつ表示すること。~~ 考えなければいけない仕様が多いので非対応とする。
,理由,~~画像を表示完了するまでの待ち時間を感じないようにするため。~~
,説明,~~例えば100枚の画像を表示する場合、1秒以上の待ち時間が発生する。画面更新のたびに1秒以上待つのは長く感じるので、待ち時間を感じないように工夫する。~~
2,要求,F5キーを押下すると、表示画像とフォルダリストを再読み込みすること。
,理由,エクスプローラーでサブフォルダを追加・削除した場合にフォルダリストを更新するため。
,説明,エクスプローラーで画像移動している可能性があるため、画像表示も更新する。チェックボックスのチェックが外れることは許容する。
3,要求,以下の条件のいずれかを満たす場合、画像表示領域のスクロールバーをスタート位置に戻すこと。<ul><li>カレントディレクトリを移動した場合</li><li>F5キーで表示を更新した場合</li></ul>
,理由,チェックボックスの再チェック作業を開始しやすいようにするため。
,説明,画像を移動した場合は続けて作業したい可能性があるため、スクロールバーはスタート位置に戻さない。
4,要求,画像表示の進捗状況をプログレスバーで表示すること。
,理由,画像を表示完了するまでの待ち時間を感じないようにするため。
,説明,例えば100枚の画像を表示する場合、1秒以上の待ち時間が発生する。画面更新のたびに1秒以上待つのは長く感じるので、待ち時間を感じないように工夫する。
5,プログレスバーの表示位置,プログレスバーはステータスバーに表示する。
6,プログレスバーの表示,画像を表示する処理開始するとプログレスバーを表示する。
7,〃,画像を表示する処理を実行している間はプログレスバーを表示する。
8,〃,画像を0枚表示している状態は進捗率0％、画像をすべて表示している状態（※1）は進捗率100％とする。<br>※1：100枚以上画損が存在する場合は100枚表示している状態。100枚未満の場合は全画像を表示している状態。
9,〃,画像の表示処理を完了するとプログレスバーを非表示にする。
